МФК;Факультет;Формат;Курс читают;Описание
Нейрофизиология поведения;Биологический факультет;Online-курс;Дубынин В. А. (профессор) ;"Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Курсдает представление о тех событиях,которые ежесекундно происходят в нашейнервной системе и обеспечивают ключевыеаспекты поведения человека: обучениеи формирование памяти, проявлениябиологических потребностей, мышление,деятельность сенсорных и двигательныхсистем. Предлагаемые материалы являютсялогическим продолжением курса «ФизиологияЦНС», но могут рассматриваться и вкачестве самостоятельного блока научныхзнаний о функционировании мозга. Курсвключает сведения о современных методахизучения ЦНС; информацию, характеризующуюее работу на различных уровнях организации(синаптическом, клеточном, нейросетей,...                        "
Физиология и современная медицина;Биологический факультет;Online-курс;Каменский А. А. (зав.кафедрой)Балезина О. П. (профессор)Каплан А. Я. (профессор)Медведева Н. А. (профессор)Тарасова О. С. (профессор)Смирнова О. В. (профессор)Кузьмин В. С. (старший научный сотрудник)Богачева П. О.Манченко Д. М.Горбачева Л. Р.Дубынин В. А. (профессор)Абрамочкин Д. В. ;"Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Слушателикурса получают возможность ознакомитсяс современными представлениями офункционировании основных системорганизма; в курсе даются представленияо работе сердечно-сосудистой системы,системы пищеварения, эндокриннойсистемы, о нервной и гормональнойрегуляции функций организма в норме,при патологиях и в онтогенезе. Также вкурсе будут введены основные понятияэлектрофизиологии, на доступном уровнебудут представлены элементы современнойнейрофизилогии и достижения наук омозге.Особенноевнимание уделено проблемам здоровья ипатологии населения, патофизиологиисистем органов. В лекциях курса разъясненыка...                        "
От альфы до омеги биологической эволюции: от гена до биосферы;Биологический факультет;Online-курс;Северцова Е. А. (научный сотрудник)Лысенков С. Н. (старший научный сотрудник)Ивницкий С. Б. (доцент)Гриньков В. Г. (старший научный сотрудник)Краус Ю. А. (ведущий научный сотрудник)Скобеева В. А. (научный сотрудник)Марков А. В. (зав.кафедрой) ;Курс предназначен для студентов небиологических специальностей, в нем в доступной неспециалисту форме излагаются ключевые и наиболее интересные аспекты современной эволюционной биологии. Данный курс призван развеять мифы, сложившиеся вокруг теории эволюции, многие из которых основаны на недостатке информации или ее неправильной интерпретации. Мы не только расскажем о том, что такое естественный отбор и в каких системах он работает, но и подробно разберем механизм его действия, укажем на нетривиальные результаты, к которым он может приводить. Мы рассмотрим популярные заблуждения, связанные с этим явлением, в частности – расскажем, в чем состоит биологический смысл метафоры «борьба за существование».  Значительная часть курса будет посвящена проблемам, не имеющим на данный момент окончательн...                        
Мозг и потребности человека;Биологический факультет;Online-курс;Дубынин В. А. (профессор) ;"В рамках авторского межфакультетского курса планируется осветить с позиций современной нейрофизиологии область биологических потребностей человека. Параллельно будет вестись разговор о воздействии гормонов на работу мозга, общих принципах функционирования нашего организма, эволюции поведения и многом другом. Большинство лекций курса посвящено конкретным биологическим потребностям. Будут рассмотрены:  •пищевая потребность (центры голода и насыщения; контроль аппетита и контроль веса; пища, как источник положительных эмоций; физиологическое значение различных компонентов пищи, их влияние на мозг и т.д.);  •исследовательская потребность (различные уровни любопытства – от рефлекса «что такое?» по Павлову до творческих процессов и юмора; роль поискового поведения; положительные эмоции, связанны...                        "
Модели нелинейного мира. От макромолекул до эпидемий;Биологический факультет;Online-курс;Ризниченко Г. Ю. (профессор) ;Модель - это инструмент, позволяющий систематизировать и структурировать разнородные знания о реальных объектах, проверять правильность гипотез, делать прогнозы. Современное представление о мире характеризуется сложностью и многогранностью. Экспериментальные методы позволяют изучать природные явления от масштабов элементарных частиц – до масштабов вселенной. Если речь идет о живых системах – от биомакромолекул до популяций и сообществ. Компьютерные технологии дают возможность анализировать и хранить огромные массивы данных, разрабатывать компьютерные модели систем на разных пространственных и временных масштабах и разной степени детализации, проигрывать на моделях различные сценарии.  При всем разнообразии живых и неживых систем, в природе присутствуют законы, общие для систем разных масшт...                        
Экология и устойчивое развитие города;Биологический факультет;Online-курс;Фридман В. С. (старший научный сотрудник)Щербаков А. В. (ведущий научный сотрудник)Авилова К. В. (доцент)Майоров С. Р. (старший научный сотрудник)Полевова С. В. (научный сотрудник) ;МФК “Экология и устойчивое развитие города” состоит из двух частей.В I части (7 лекций, 14 ауд.часов) рассматриваются общие проблемы геоурбанистики, излагаются основные закономерности развития городов, их проявления на разных этапах истории городских поселений в мире и в СССР/России, преподаются фундаментальные экологические и эколого-географические знания о городской среде как среде обитания человека и других видах биоты, экологических последствиях урбанизации региона для населения и региональных экосистем, рисках и преимуществах “городской жизни”, определяющих региональный баланс между освоением и избеганием городской среды как для человеческих популяций, так для региональных популяций других видов живых существ.   Вторая часть (5 лекции, 10 ауд.часов) посвящена социальным и прикладным п...                        
Зоосоциология: общественная жизнь животных как зеркало человеческой социальности;Биологический факультет;Online-курс;Иваницкий В. В. (профессор) ;Цель курса состоит в том, чтобы ознакомить слушателей с основными чертами социального поведения животных, общими закономерностями и специфическими особенностями структуры и функционирования их сообществ, показать сходство и различия общественной жизни животных и человека. В основу курса положены представления о биосоциальности как фундаментальном и универсальном свойстве живых организмов, которое проявляется в их способности и потребности к разнообразным взаимодействиям друг с другом на основе использования тех или иных средств общения (коммуникации). Одна из основных задач курса – продемонстрировать огромное разнообразие социальных систем животных, которое нисколько не уступает разнообразию форм организации общественной жизни у человека. В рамках курса студенты получают теоретические знан...                        
Глобальная экология и кризис биосферы;Биологический факультет;Online-курс;Честных О. В.Полищук Л. В. (профессор) ;Современную эпоху нередко называют антропоценом – новейшим отрезком в истории Земли, для которого характерно мощное и все возрастающее воздействие человека на природу. Это воздействие проявляется в разнообразных формах – от разрушения конкретных местообитаний и истребления отдельных биологических видов до глобального загрязнения окружающей среды и антропогенного изменения климата, оказывающих влияние на всю биосферу. Поэтому первой задачей курса является общий очерк антропогенных воздействий, испытываемых современными экосистемами, и подробная характеристика процессов, протекающих в биосфере - от циклов основных биогенных элементов и глобального изменения продуктивности экосистем до скорости современного вымирания до его причин.  Не следует, однако, обвинять человека во всех экологических ...                        
Современная энтомология;Биологический факультет;Online-курс;Петров П. Н. ;  Межфакультетский курс «Современная энтомология» предназначен для ознакомления студентов различных факультетов МГУ с достижениями и перспективами современной энтомологии (науки о насекомых). Курс позволяет студентам узнать основы важнейших направлений энтомологии, как классических (в их современном виде), так и новых, возникших в последние десятилетия.  Насекомые — крупнейшая (по числу видов) и исключительно важная группа животных, играющая огромную роль в природе и в жизни человека. Вместе с тем, люди уделяют насекомым непропорционально мало внимания. Знакомство студентов с последними достижениями современной науки о насекомых поможет им оценить значение насекомых и значение посвященных им исследований и, возможно, привлечет кого-то из студентов к участию в междисциплинарных исследовател...                        
Зимняя экология;Биологический факультет;Online-курс;Квартальнов П. В. ;Привычный нам климатумеренных широт отличается ярко выраженной сезонностью. Зимний период поклиматическим показателям значительно отличается от летнего, что оказываетсильное влияние на жизнь природы. Отечественная школа зимней экологии – одна изведущих в мире, однако в учебных курсах крайне редко затрагиваются вопросызимней жизни животных и растений, несмотря на то, что особенности ихсуществования в зимний период непосредственно влияют на их жизнь в другое времягода. Настоящий курс призван восполнить этот пробел. Помимо рассказа о сезонныхявлениях природы, характерных для холодной и снежной зимы, в курс включеныданные о сезонных изменениях в тропиках и субтропиках. Лекции рассчитаны настудентов, не имеющих специальной подготовки, желающих разобраться в явлениях,о ...                        
Глобальные экологические проблемы и правовые механизмы охраны природы;Биологический факультет;Online-курс;Олескин А. В. ;Курс посвящен проблемамглобальной экологии - науки об экосистемах Земли. Объектом этой науки являетсясовокупность всех форм жизни (животных, растений, грибов, микроорганизмов) исистем жизнеобеспечения (воздуха, воды и почвы) на Земле, которые называютсябиосферой, экосферой, глобальной экосистемой. Эта глобальная экосистемаявляется устойчивой, но находится в состоянии, далеком от термодинамическогоравновесия. В лекциях рассматривается экологическое, (био)политическое иправовое значение процессов, протекающих в глобальной экосистеме напопуляционном, биоценотическом, экосистемном, биомном, биосферном уровнях.Люди, как и всеорганизмы, взаимодействуют с окружающей средой. В отличие от другихбиологических видов, они приобрели способность эффективно изменять окружающуюсреду ...                        
Микробиология в XXI веке;Биологический факультет;Online-курс;Бонч-Осмоловская Е. А. ;Микробиология, являясь разделом так называемой «организменной биологии», коренным образом отличается от ее остальных разделов: объекты микробиологии невидимы. Как следствие, развитие микробиологии было теснейшим образом связано с развитием методов исследования. Открытие Р. Кохом в XIX веке метода получения чистых культур микроорганизмов (состоящих из абсолютно идентичных клеток) определило развитие микробиологии в течение почти всего ХХ века. С помощью чистых культур стало возможным описывать таксоны различного уровня, изучать физиологию и метаболизм микроорганизмов, осуществляемые ими биохимические реакции. Однако в последнее десятилетие ХХ века в микробиологии произошла подлинная революция, в корне изменившая лицо этой науки. Развитие молекулярно-биологических методов позволило исследова...                        
Основы экологии;Факультет почвоведения;Online-курс;Костина Н. В. (доцент) ;  Экология, оформившаяся как наука около полутора столетий назад, в многоликой системе знаний о природе занимает особое место. В центре ее внимания не только живые организмы, но и те условия, которые необходимы для их существования. Экология – это наука о связях, поддерживающих устойчивость жизни в окружающей среде, о законах взаимодействия живых и неживых систем. Однако за прошедшие десятилетия представления о содержании этой науки сильно изменилось. Экология сейчас понимается в очень расширенном значении, как вся сфера экологических проблем человечества во всех без исключения областях жизни, включая социальные. При таком широком подходе многочисленные учебные курсы по экологии неизбежно приобретают компилятивный характер, у студентов возникают затруднения с отбором необходимой и достаточ...                        
Экология, ландшафтная архитектура и дизайн;Факультет почвоведения;Online-курс;Семенюк О. В. (старший научный сотрудник) ;Целью курса является ознакомление студентов с различными аспектами взаимосвязи ландшафтного дизайна и экологии. Ландшафтная архитектура представлена как инструмент объемно-пространственной организации ландшафта и регулирования экологических условий, а также как отражение эстетических, философских и социальных аспектов общественной жизни.Путешествуя в пространстве и времени, студенты знакомятся с экологическими подходами ландшафтного дизайна и особенностями проектных решений ландшафтных объектов Древнего мира, Средневековья, Эпохи возрождения и т.д. (видеоряд авторских фотоматериалов).  Рассмотрены современные тенденции развития ландшафтного дизайна, экологическое направление. Особенности проектирования объектов городской среды, индивидуальной застройки и малого сада. Представлены пакеты пр...                        
Теория и практика ландшафтного дизайна;Факультет почвоведения;Online-курс;Умарова А. Б. (профессор)Гончаров В. М. (профессор) ;Курс знакомит с садово-парковым искусством различных эпох и стран, с основами создания эстетически и экологически различных ландшафтных композиций. Представлены базовые фундаментальные знания о ландшафте, законах его функционирования, оценка условий для роста и развития растений.Популярность дизайна ландшафтов связан с увеличением темпов роста малоэтажного строительства, озеленением городских территорий, интереса к истории усадебной культуры, осознанием необходимости улучшения условий и создания эстетически и экологически комфортной среды для человека.   Курс включает разделы об этапах и циклах работ по созданию проекта озеленения территории от замысла архитектора и графической работы до их воплощения. Основы почвоведения и агрофизики позволяют понять основные закономерности влияния внешни...                        
"Технологии и дизайн ""зеленых интерьеров""";Факультет почвоведения;Online-курс;Госсе Д. Д. (старший научный сотрудник)Гончаров В. М. (профессор) ;В курсе лекций представлена история и современное состояние технологий выращивания декоративных культур в защищённых условиях: зимнем саду, оранжерее, теплице. Показаны общественные и частные оранжереи, зимние сады Европы и РоссииXVIII–XX в.в., их размещение, планирование, внутренняя структура, наполнение. Представлены особенности проектирования «зеленых» интерьеров зданий в современных городах.  Основы знаний почвоведения, агрофизики, мелиорации почв позволяют учитывать основные факторы роста растений и дают возможность освоить современные агротехнологиив закрытых условиях: люксметры, фитолампы, системы автополива, датчики влажности, рН-метры, приемы оптимизации влажности воздуха в помещениях, «умные кашпо», гидропоника, ионитопоника, аэропоника. Практические советы помогут подобрать моно...                        
Основы рационального использования агроландшафтов;Факультет почвоведения;Online-курс;;"Онлайн-курс Санкт-Петербургского государственного университета (в осеннем семестре 2020/21 учебного года является межфакультетским учебным курсом МГУ).Для записи на курс необходимо также зарегистрироваться на платформе ""Открытое образование РФ"" openedu.ru. Основы рационального использования агроландшафтовhttps://openedu.ru/course/spbu/AGRLAND/На  основе современных представлений сформировать представление о  классическом и органическом земледелии, альтернативных системах  земледелия.  Цель курса- дать представление об основных типах природных и  агропочв России, о почвенных зонах и фациях России, о географических  особенностях ведения земледелия, а также сведения о роли  биоклиматических и геогенных факторов в земледелии. Кроме того,  слушатели получат представление о плодородии почв и спо...                        "
Генетика развития растений;Факультет почвоведения;Online-курс;;"Онлайн-курс Санкт-Петербургского государственного университета (в осеннем семестре 2020/21 учебного года является межфакультетским учебным курсом МГУ).Для записи на курс необходимо также зарегистрироваться на платформе ""Открытое образование РФ"" openedu.ru. Генетика развития растенийhttps://openedu.ru/course/spbu/PLANTGEN/В  нашем курсе мы рассматриваем современные представления о растениях как  объектах генетики развития, а также о том, как осуществляется регуляция  развития растений на различных уровнях. Мы обсудим основные методы,  используемые в исследовании растений и рассмотрим их применение для  изучения различных программ развития. Первая часть курса посвящена  обзору сигнальных систем, связанных с действием ключевых групп гормонов  растений. Во второй части мы расскажем об осно...                        "
Общая геология. Планета Земля: образование, строение, эволюция;Геологический факультет;Online-курс;Короновский Н. В. (профессор) ;"Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Общаягеология. Планета Земля: образование,строение, эволюцияКурсориентирован на формирование представленийо геологии, как науке о Земле. Он посвященразличным вопросам образования, строенияи эволюции Земли, как планеты. В известноймере он соответствует фундаментальномуучебному курсу «Общая геология»,читаемому в течение 2-х семестровстудентам 1-го курса, однако затрагиваеттолько некоторые основные вопросы исостоит из 12 лекций, в которых обсуждаетсяобразование Земли, как планеты; еёвнутреннее строение и методы изучения;современные геологические процессы,включая землетрясения, вулканизм,оледенения, выв...                        "
Живая Земля;Геологический факультет;Online-курс;Короновский Н. В. (профессор) ;Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Курспризван помочь разобраться в современных,прошлых и, возможно, в будущих катастрофах,связанных с процессами, протекающимив верхней оболочке нашей планеты, атакже с космическим пространством.Слушатели узнают, откуда может грозитьопасность, чем она вызвана, возможно лиее предвидеть и предотвратить.Входе курса будут рассмотрены землетрясения,извержения вулканов, падение метеоритов,оползни, сели, цунами, а также не менеезначимые медленные геологическиекатастрофы, такие как таяние криолитозоны,покровных ледников и т.п.Преподаватель:КороновскийНиколай Владимирович,докторгеолого-минералогических наук, про...                        
Земля - планета океанов                                                                                                                                                                                 ;Геологический факультет;Online-курс;Короновский Н. В. (профессор) ;"Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Курспризван предоставить слушателямвозможность понять, что представляютсобой океаны и моря, занимающие 71%поверхности Земли; какие процессыпроисходят в океанах и как они влияютна другие геосферы (прежде всегоатмосферу). Слушатели узнают о такихкатастрофических явлениях, как цунами,тайфуны, штормы, аномальные течения. Входе лекций будут рассмотрены особенностиосадконакопления, биосфера океанов,льды, рельеф океанского дна и его значениедля геологии, а также полезные ископаемые.Преподаватель:КороновскийНиколай Владимирович,докторгеолого-минералогических наук, профессор,заведующий кафедрой динамическойг...                        "
История жизни на Земле: последние полмиллиарда лет;Геологический факультет;Online-курс;Назарова В. М. (старший научный сотрудник) ;Палеонтология – наука об ископаемых организмах и биосферах прошлых эпох. Эта наука наиболее востребована геологами, поскольку помогает им определять возраст древних пород и условия их формирования. Благодаря этим данным геологи ищут полезные ископаемые. Но данный курс не об этом. Палеонтология раскрывает нам историю органического мира и закономерности его эволюции, питает наше воображение фантастическими, но в то же время действительно существовавшими образами.   В данном курсе речь пойдет о шкале времени, основанной на изменениях в органическом мире. Слушатели узнают, что такое трилобиты и аммониты, брахиоподы и конодонты. И, конечно, динозавры! Мы последовательно рассмотрим историю Земли на протяжении последних 542 млн. лет, массовые вымирания и появления организмов, климатические измене...                        
Симметрия кристаллического микромира;Геологический факультет;Online-курс;Белоконева Е. Л. (профессор) ;Предлагаемый межфакультетский курс «Симметрия кристаллического микромира» представляет собой изложение фундаментальных симметрийных законов, управляющих строением минералов или синтетических кристаллов, применяемых в качестве материалов. В его основе лежит курс «Теории симметрии кристаллов», читаемый на кафедре кристаллографии и кристаллохимии Геологического факультета на протяжении десятилетий, сформированный академиком Н.В.Беловым и его учениками и изложенный в учебнике Ю.К Егорова-Тисменко и Г.П. Литвинской. В курсе будут рассмотрены основные операции и элементы симметрии, конечные как отправные и бесконечные, начиная от самих элементов симметрии микромира через одномерно-бесконечные постройки (бордюры), двумерно-бесконечные (слои) с привлечением графики Эшера до трехмерных Федоровских ...                        
Катастрофические геологические события, методы прогноза и защитные мероприятия;Геологический факультет;Online-курс;Шанина В. В. ;Проблема изучения катастрофических геологических событий чрезвычайноактуальна. Современные землетрясения, оползни, обвалы, провалы, лавины, извержениявулканов приводят к человеческим жертвам и наносят большой экономический ущерб. Внастоящее время существуют методы прогноза опасных природных явлений, позволяющиес определенной долей вероятности определить, где произойдет катастрофическоегеологическое событие и отвечающие на ещё более сложный вопрос – когда произойдет.Для каждого жителя Земли является актуальным совершенствование инженерной защитынаселения, территорий, зданий и сооружений от опасных геологических процессов....                        
Экономические кризисы в России в XXI веке: региональная проекция;Географический факультет;Online-курс;Зубаревич Н. В.Землянский Д. Ю. ;  Курс нацелен на освоение студентами базовых знаний о региональных различиях проявления кризисных явлений в экономике России. Студенты узнают основные факторы межрегионального неравенства в России, региональные особенности влияния общестрановых кризисов в конце XX – начале XXI века. В ходе курса будет рассмотрено влияние кризисов на разные типы регионов России. Особое внимание будет уделено влиянию пандемии COVID-19 на текущую динамику регионального развития в России, темпы закрытия и открытия экономик субъектов Российской Федерации, государственную поддержку отраслей экономики и социальной сферы в условиях пандемии, предварительную оценку последствий пандемии для экономики и рынка труда российских регионов в 2020 году....                        
Моря России и мира;Географический факультет;Online-курс;Пантюлин А. Н. (доцент) ;Давайте познакомимся с разнообразием морей: большими и маленькими, очень солеными и почти пресными, глубокими и мелкими, суровыми и теплыми.Страна наша имеет выход к 13 морям, что дает уникальную возможность заинтересовано изучать, сравнивать и систематизировать эти удивительные водные объекты. В курсе речь пойдет не только о гидрологических особенностях морей, но, также, о морской биологии и геологии, найдется месторазного рода историческим сюжетам, правовым и экономическим вопросам. Дойдет дело и до сказок, навеянных морем. И, конечно, рассказ о людях, в судьбах которых моря сыграли важную роль.  Курс рассчитан на студентов любых специальностей и подготовки, так как использует универсальный междисциплинарный язык, образность и иллюстративность, обращается к разным точкам зрения на моря. ...                        
Феномен фронтира в России и зарубежных странах: особенности развития территорий нового освоения от Сибири до Амазонки;Географический факультет;Online-курс;Пилясов А. Н.Наумов А. С. (доцент)Замятина Н. Ю.Павлюк С. Г. ;Курс посвящен особому типу территорий – территориям нового освоения. На них формируется особый комплекс экономических, социально-политических и культурных процессов, за которым закрепился термин фронтир. Уникальность феномена фронтира состоит в том, что осваиваемые территории обладают сходными чертами все зависимости от местных особенностей: похожие друг на друга фронтирные территории наблюдаются в Сибири и на Аляске, в Амазонии, Австралии, в других регионах мира, в прошлые века и в наш дни. В ходе курса дается широкая междисциплинарная панорама фронтирных зон мира, включая особенности развития фронтира в США (последовательное освоение территории страны с востока на запад и вплоть до Аляски), Канады, Южной Америки, Африки, Австралии, мировой Арктики и Антарктики. Большое внимание уделяется...                        
